site_id,gatewayhub_id,site_status,is_active,start_reading,end_reading,lat,lon,suburb_id,suburb_name
1008,arc1045,R,False,2021-06-14,2021-06-20,-37.81746522,144.96705703,206041503,Melbourne CBD - East
1002,arc1046,R,False,2019-11-15,2021-06-13,-37.800524,144.964122,206041117,Carlton
1013,arc1047,R,False,2021-09-17,,-37.811944,144.956389,206041504,Melbourne CBD - North
1007,arc1113,C,True,2021-05-20,,-37.82246,144.951835,206041508,Southbank (West) - South Wharf
1010,arc1112,C,True,2021-06-29,,-37.82250002,144.95222195,206041508,Southbank (West) - South Wharf
1006,arc1112,R,False,2021-05-20,2021-06-28,-37.822486,144.952065,206041508,Southbank (West) - South Wharf
1015,arc1046,R,False,2021-09-17,,-37.810278,144.9725,206041503,Melbourne CBD - East
1005,arc1050,R,False,2019-11-15,2021-06-13,-37.800629,144.965052,206041117,Carlton
1012,arc1048,C,True,2021-09-17,,-37.813333,144.97,206041503,Melbourne CBD - East
1014,arc1045,C,True,2021-09-17,,-37.8175,144.967222,206041503,Melbourne CBD - East
1004,arc1048,R,False,2019-11-15,2021-06-13,-37.800575,144.964635,206041117,Carlton
1009,arc1050,C,True,2021-06-14,,-37.81686763,144.96570467,206041503,Melbourne CBD - East
1001,arc1045,R,False,2019-11-15,2021-06-13,-37.800793,144.966492,206041117,Carlton
1011,arc1055,C,True,2021-07-07,,-37.822222,144.952222,206041508,Southbank (West) - South Wharf
1016,arc1049,C,True,2021-09-17,,-37.812778,144.960556,206041504,Melbourne CBD - North
1003,arc1047,R,False,2019-11-15,2021-06-13,-37.8023,144.960923,206041117,Carlton
